Categoria,Subcategoria,Prefijo,MaxNumero,Count,NextCodigo
Aislantes e impermeabilizantes,Aislantes,MSA,6986,81,MSA6987
Aislantes e impermeabilizantes,Impermeabilizantes,MSB,6936,134,MSB6937
Artefactos sanitarios y ambien,Accesorios de bano,MRB,6274,115,MRB6275
Artefactos sanitarios y ambien,"Acond.aire,calefactores chimen",MRF,6916,85,MRF6917
Artefactos sanitarios y ambien,Artefactos de bano,MRA,7014,160,MRA7015
Artefactos sanitarios y ambien,Artefactos de cocina,MRC,6825,109,MRC6826
Artefactos sanitarios y ambien,Artefactos de lavanderia o Industriales,MRE,6150,12,MRE6151
Artefactos sanitarios y ambien,"Cubiertas,partes y piezas post",MRH,6953,13,MRH6954
Artefactos sanitarios y ambien,Fijaciones sanitarias,MRG,3117,32,MRG3118
Articulos electricos,Conductores y conectores,MOB,7226,42,MOB7227
Articulos electricos,Lamparas para cielos colgantes,MOE,6890,7,MOE6891
Articulos electricos,"Lamparas, apliquet y accesorio",MOD,7023,115,MOD7024
Articulos electricos,Luminarias de alumbrado public,MOF,1,1,MOF2
Articulos electricos,Otros,MOH,7227,16,MOH7228
Articulos electricos,"Tableros, interruptores y ench",MOA,7246,127,MOA7247
Articulos electricos,Tubos para conductores,MOC,7217,12,MOC7218
Asfaltos y adhesivos,Asfaltos,MWA,6270,11,MWA6271
Asfaltos y adhesivos,Combustibles,MWC,5889,7,MWC5890
Asfaltos y adhesivos,Membranas asfalticas,MWF,6926,9,MWF6927
Asfaltos y adhesivos,Otros,MWE,6464,7,MWE6465
Asfaltos y adhesivos,Pegamentos y adhesivos,MWB,6856,141,MWB6857
Asfaltos y adhesivos,Sellantes,MWD,6792,17,MWD6793
"Canerias, tuberias",Caneria p/riego por goteo y ac,MPL,5239,3,MPL5240
"Canerias, tuberias",Canerias de bronce y fittings,MPI,5915,36,MPI5916
"Canerias, tuberias",Canerias de cobre y fittings,MPC,4897,30,MPC4898
"Canerias, tuberias",Canerias de fe. fundido,MPE,67,4,MPE68
"Canerias, tuberias",Canerias de fe. y fittings,MPD,2,2,MPD3
"Canerias, tuberias",Canerias de pvc y pzas. esp.,MPG,6871,179,MPG6872
"Canerias, tuberias",Elementos para instalaciones s,MPJ,6422,167,MPJ6423
"Canerias, tuberias",Tuberia de HDPE,MPB,3,3,MPB4
"Canerias, tuberias",Tuberia de fibrocemento y pzas,MP,7886,5,MP7887
"Canerias, tuberias",Tuberia de fibrocemento y pzas,MPM,5026,68,MPM5027
"Canerias, tuberias",Tuberia de fibrocemento y pzas,MPO,7893,7,MPO7894
"Canerias, tuberias",Tuberias de cc. y pzas. esp.,MPA,2995,59,MPA2996
"Canerias, tuberias",Tuberias y fittings hidraulico,MPK,6852,67,MPK6853
Cubiertas,Accesorios,MIG,7000,68,MIG7001
Cubiertas,Acero zincalum,MIM,6429,63,MIM6430
Cubiertas,Asbesto cemento,MIA,6379,78,MIA6380
Cubiertas,Cubierta fonolita,MIJ,4367,6,MIJ4368
Cubiertas,Cubiertas de acrilico,MIH,2779,17,MIH2780
Cubiertas,Cubiertas para terrazas,MIK,6497,2,MIK6498
Cubiertas,Fibra de vidrio,MIC,4316,20,MIC4317
Cubiertas,Fibrocemento,MIL,3889,69,MIL3890
Cubiertas,Fierro galvanizado,MIB,6502,46,MIB6503
Cubiertas,Tejas de arcilla,MID,6305,9,MID6306
Cubiertas,Tejas de cemento comp.,MIE,3579,18,MIE3580
Cubiertas,Tejas de madera,MIF,7004,3,MIF7005
Griferia,Accesorios,MQE,5100,4,MQE5101
Griferia,Griferia,MQA,6887,85,MQA6888
Griferia,Llaverias y valvulas bronce,MQB,6657,20,MQB6658
Griferia,Piletas,MQD,2567,10,MQD2568
Griferia,Sifones,MQC,6652,22,MQC6653
Griferia,Tratamiento de agua,MQF,6518,2,MQF6519
